[2025-04-15T19:55:51.362Z] 🚀 Mission démarrée pour 10.0.2.15
limo1 : SCAN_LOG: t=19:00:04.750 | min_dist=0.7m@118° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:04.875 | min_dist=0.7m@116° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.21/Infinitym | avg=4.42m var=5.89
limo1 : SCAN_LOG: t=19:00:05.000 | min_dist=0.69m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:05.250 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:05.375 | min_dist=0.7m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:05.500 | min_dist=0.69m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:05.625 | min_dist=0.67m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.67/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:05.750 | min_dist=0.69m@120° | obstacles(<0.5m)=0 | F/L/R/B=2.16/0.69/2.21/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:05.875 | min_dist=0.7m@117° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.22/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:06.000 | min_dist=0.7m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.7/2.2/Infinitym | avg=4.41m var=5.89
limo1 : SCAN_LOG: t=19:00:06.125 | min_dist=0.69m@119° | obstacles(<0.5m)=0 | F/L/R/B=2.15/0.69/2.22/Infinitym | avg=4.41m var=5.89
