MISSION_LOG: t=2025-04-15T23:54:13.517Z | Mission 10_0_2_15_20250415235413_w7dp8y STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:08.250 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:08.375 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:08.500 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:08.625 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.26/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:08.750 | min_dist=0.75m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.75/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:08.875 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.25/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:09.000 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.09/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:09.125 | min_dist=0.75m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.75/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:09.250 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:09.375 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.09/0.77/2.26/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:09.500 | min_dist=0.76m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.09/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:09.625 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:09.750 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:09.875 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:10.000 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.09/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:10.125 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:10.250 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:10.375 | min_dist=0.77m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.26/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:10.500 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:10.625 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:10.750 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:10.875 | min_dist=0.77m@55° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:11.000 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:11.125 | min_dist=0.78m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.09/0.78/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:11.250 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.26/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:11.375 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:11.500 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:11.625 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:11.750 | min_dist=0.75m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.75/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:11.875 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.26/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:12.000 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:12.125 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:12.250 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:12.375 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:12.500 | min_dist=0.77m@53° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:12.625 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:12.750 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:12.875 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:13.000 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.09/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:13.125 | min_dist=0.77m@54° | obstacles(<0.5m)=0 | F/L/R/B=3.05/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:13.250 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:13.375 | min_dist=0.77m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:13.500 | min_dist=0.77m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:13.625 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.76/2.26/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:13.750 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:13.875 | min_dist=0.76m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:14.000 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:14.125 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:14.250 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:14.375 | min_dist=0.75m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.75/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:14.500 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.76/2.27/Infinitym | avg=5.35m var=5.39
limo1 : SCAN_LOG: t=19:00:14.625 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:14.750 | min_dist=0.75m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.75/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:14.875 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:15.000 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:15.125 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:15.250 | min_dist=0.77m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.77/2.26/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:15.375 | min_dist=0.76m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.26/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:15.500 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:15.625 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:15.750 | min_dist=0.76m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:15.875 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:16.000 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:16.125 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:16.250 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:16.375 | min_dist=0.76m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:16.500 | min_dist=0.77m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:16.625 | min_dist=0.77m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:16.750 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.08/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:16.875 | min_dist=0.76m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.76/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:17.000 | min_dist=0.77m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.77/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:17.125 | min_dist=0.78m@59° | obstacles(<0.5m)=0 | F/L/R/B=3.07/0.78/2.27/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:17.250 | min_dist=0.76m@57° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.76/2.28/Infinitym | avg=5.35m var=5.38
limo1 : SCAN_LOG: t=19:00:17.375 | min_dist=0.77m@58° | obstacles(<0.5m)=0 | F/L/R/B=3.06/0.77/2.27/Infinitym | avg=5.35m var=5.38
