limo1 : SCAN_LOG: t=19:00:15.625 | min_dist=1.29m@56° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.29/2.78/Infinitym | avg=5.23m var=3.17
limo1 : SCAN_LOG: t=19:00:15.750 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:15.875 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.000 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.28/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.125 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.250 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.375 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.500 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.625 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.77/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.750 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.57/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:16.875 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.000 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.57/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.125 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.250 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.375 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.500 | min_dist=1.24m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.24/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.625 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.750 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:17.875 | min_dist=1.27m@56° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:18.000 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.26/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:18.125 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.25/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:18.250 | min_dist=1.29m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.29/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:18.375 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.28/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:18.500 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.27/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:18.625 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:18.750 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:18.875 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:19.000 | min_dist=1.27m@56° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:19.125 | min_dist=1.29m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.29/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:19.250 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:19.375 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.28/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:19.500 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:19.625 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:19.750 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.27/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:19.875 | min_dist=1.24m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.24/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:20.000 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:20.125 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:20.250 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:20.375 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:20.500 | min_dist=1.28m@56° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.28/2.79/Infinitym | avg=5.23m var=3.2
limo1 : SCAN_LOG: t=19:00:20.625 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:20.750 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:20.875 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:21.000 | min_dist=1.28m@56° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:21.125 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.26/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:21.250 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:21.375 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.57/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:21.500 | min_dist=1.29m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.29/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:21.625 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.57/1.27/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:21.750 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:21.875 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:22.000 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.57/1.27/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:22.125 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:22.250 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:22.375 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.56/1.26/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:22.500 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.26/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:22.625 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:22.750 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:22.875 | min_dist=1.25m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.25/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:23.000 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.28/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:23.125 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.59/1.27/2.79/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:23.250 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:23.375 | min_dist=1.28m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.28/2.78/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:23.500 | min_dist=1.27m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.27/2.8/Infinitym | avg=5.23m var=3.19
limo1 : SCAN_LOG: t=19:00:23.625 | min_dist=1.26m@48° | obstacles(<0.5m)=0 | F/L/R/B=5.58/1.26/2.79/Infinitym | avg=5.23m var=3.19
