MISSION_LOG: t=2025-04-15T18:49:05.014Z | Mission 10_0_2_15_20250415184905_b0y64d STARTED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:51.777Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:52.102Z | Mission undefined STOPPED for robot at 10.0.2.15
MISSION_LOG: t=2025-04-15T18:56:51.882Z | Mission undefined STOPPED for robot at 10.0.2.15
limo2 : SCAN_LOG: t=19:00:03.125 | min_dist=0.82m@14° | obstacles(<0.5m)=0 | F/L/R/B=0.82/0.99/1.6/Infinitym | avg=3.4m var=8.42
limo1 : SCAN_LOG: t=19:00:03.250 | min_dist=1.19m@52° | obstacles(<0.5m)=0 | F/L/R/B=1.91/1.19/6.38/Infinitym | avg=4.85m var=6.09
limo2 : SCAN_LOG: t=19:00:03.250 | min_dist=0.72m@11° | obstacles(<0.5m)=0 | F/L/R/B=0.72/0.87/1.41/Infinitym | avg=3.26m var=8.64
limo1 : SCAN_LOG: t=19:00:03.375 | min_dist=1.2m@52° | obstacles(<0.5m)=0 | F/L/R/B=1.82/1.2/6.38/Infinitym | avg=4.75m var=6.3
limo2 : SCAN_LOG: t=19:00:03.375 | min_dist=0.62m@18° | obstacles(<0.5m)=0 | F/L/R/B=0.62/0.76/1.23/Infinitym | avg=3.12m var=8.84
limo1 : SCAN_LOG: t=19:00:03.500 | min_dist=1.27m@47° | obstacles(<0.5m)=0 | F/L/R/B=1.72/1.27/6.38/Infinitym | avg=4.65m var=6.5
limo2 : SCAN_LOG: t=19:00:03.500 | min_dist=0.52m@10° | obstacles(<0.5m)=0 | F/L/R/B=0.52/0.64/1.03/Infinitym | avg=2.96m var=9.03
limo1 : SCAN_LOG: t=19:00:03.625 | min_dist=1.28m@56° | obstacles(<0.5m)=0 | F/L/R/B=1.63/1.28/6.38/Infinitym | avg=4.55m var=6.72
limo2 : SCAN_LOG: t=19:00:03.625 | min_dist=0.43m@8° | obstacles(<0.5m)=155 | F/L/R/B=0.43/0.52/0.85/Infinitym | avg=2.81m var=9.24
limo1 : SCAN_LOG: t=19:00:03.750 | min_dist=1.27m@57° | obstacles(<0.5m)=0 | F/L/R/B=1.53/1.27/6.39/Infinitym | avg=4.44m var=6.93
limo2 : SCAN_LOG: t=19:00:03.750 | min_dist=0.34m@16° | obstacles(<0.5m)=246 | F/L/R/B=0.34/0.44/0.7/Infinitym | avg=2.66m var=9.31
limo1 : SCAN_LOG: t=19:00:03.875 | min_dist=1.19m@51° | obstacles(<0.5m)=0 | F/L/R/B=1.43/1.19/6.38/Infinitym | avg=4.33m var=7.13
limo2 : SCAN_LOG: t=19:00:03.875 | min_dist=0.33m@18° | obstacles(<0.5m)=268 | F/L/R/B=0.33/0.42/0.65/Infinitym | avg=2.63m var=9.34
limo1 : SCAN_LOG: t=19:00:04.000 | min_dist=1.08m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.33/1.08/6.39/Infinitym | avg=4.2m var=7.36
limo2 : SCAN_LOG: t=19:00:04.000 | min_dist=0.31m@17° | obstacles(<0.5m)=284 | F/L/R/B=0.31/0.4/0.58/Infinitym | avg=2.62m var=9.47
limo1 : SCAN_LOG: t=19:00:04.125 | min_dist=1.11m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.23/1.11/6.38/Infinitym | avg=4.08m var=7.54
limo2 : SCAN_LOG: t=19:00:04.125 | min_dist=0.3m@7° | obstacles(<0.5m)=298 | F/L/R/B=0.3/0.38/0.52/Infinitym | avg=2.65m var=9.67
limo1 : SCAN_LOG: t=19:00:04.250 | min_dist=0.97m@69° | obstacles(<0.5m)=0 | F/L/R/B=1.14/0.97/6.39/Infinitym | avg=3.96m var=7.74
limo2 : SCAN_LOG: t=19:00:04.250 | min_dist=0.3m@1° | obstacles(<0.5m)=295 | F/L/R/B=0.3/0.44/0.48/Infinitym | avg=2.66m var=9.64
limo1 : SCAN_LOG: t=19:00:04.375 | min_dist=0.94m@75° | obstacles(<0.5m)=0 | F/L/R/B=1.03/0.94/1.99/Infinitym | avg=3.82m var=7.92
limo2 : SCAN_LOG: t=19:00:04.375 | min_dist=0.31m@-6° | obstacles(<0.5m)=284 | F/L/R/B=0.31/0.49/0.45/Infinitym | avg=2.56m var=9.23
limo1 : SCAN_LOG: t=19:00:04.500 | min_dist=0.92m@81° | obstacles(<0.5m)=0 | F/L/R/B=0.94/0.92/1.82/Infinitym | avg=3.66m var=8.09
limo2 : SCAN_LOG: t=19:00:04.500 | min_dist=0.33m@-6° | obstacles(<0.5m)=272 | F/L/R/B=0.33/0.59/0.42/Infinitym | avg=2.46m var=8.82
limo1 : SCAN_LOG: t=19:00:04.625 | min_dist=0.84m@12° | obstacles(<0.5m)=0 | F/L/R/B=0.84/0.9/1.61/Infinitym | avg=3.5m var=8.2
limo2 : SCAN_LOG: t=19:00:04.625 | min_dist=0.34m@-18° | obstacles(<0.5m)=261 | F/L/R/B=0.34/0.74/0.4/Infinitym | avg=2.34m var=8.3
limo1 : SCAN_LOG: t=19:00:04.750 | min_dist=0.75m@11° | obstacles(<0.5m)=0 | F/L/R/B=0.75/0.9/1.43/Infinitym | avg=3.38m var=8.39
limo2 : SCAN_LOG: t=19:00:04.750 | min_dist=0.35m@-29° | obstacles(<0.5m)=250 | F/L/R/B=0.35/1.05/0.39/Infinitym | avg=2.16m var=7.53
limo1 : SCAN_LOG: t=19:00:04.875 | min_dist=0.65m@6° | obstacles(<0.5m)=0 | F/L/R/B=0.65/0.78/1.26/Infinitym | avg=3.18m var=8.38
limo2 : SCAN_LOG: t=19:00:04.875 | min_dist=0.36m@-33° | obstacles(<0.5m)=234 | F/L/R/B=0.36/2.06/0.39/Infinitym | avg=2.09m var=6.65
limo1 : SCAN_LOG: t=19:00:05.000 | min_dist=0.55m@13° | obstacles(<0.5m)=0 | F/L/R/B=0.55/0.68/1.06/Infinitym | avg=2.99m var=8.42
limo2 : SCAN_LOG: t=19:00:05.000 | min_dist=0.4m@-37° | obstacles(<0.5m)=202 | F/L/R/B=0.4/2.96/0.4/Infinitym | avg=2.11m var=6.12
limo1 : SCAN_LOG: t=19:00:05.125 | min_dist=0.46m@20° | obstacles(<0.5m)=109 | F/L/R/B=0.46/0.55/0.9/Infinitym | avg=2.78m var=8.38
limo2 : SCAN_LOG: t=19:00:05.125 | min_dist=0.43m@-56° | obstacles(<0.5m)=168 | F/L/R/B=0.44/2.78/0.43/Infinitym | avg=2.22m var=6.22
limo1 : SCAN_LOG: t=19:00:05.250 | min_dist=0.39m@9° | obstacles(<0.5m)=202 | F/L/R/B=0.39/0.48/0.77/Infinitym | avg=2.65m var=8.35
limo2 : SCAN_LOG: t=19:00:05.250 | min_dist=0.45m@-64° | obstacles(<0.5m)=127 | F/L/R/B=0.49/2.73/0.45/Infinitym | avg=2.54m var=6.85
limo1 : SCAN_LOG: t=19:00:05.375 | min_dist=0.38m@5° | obstacles(<0.5m)=222 | F/L/R/B=0.38/0.48/0.73/Infinitym | avg=2.6m var=8.32
limo2 : SCAN_LOG: t=19:00:05.375 | min_dist=0.47m@-74° | obstacles(<0.5m)=34 | F/L/R/B=0.58/2.7/0.47/Infinitym | avg=2.84m var=7.16
limo1 : SCAN_LOG: t=19:00:05.500 | min_dist=0.35m@12° | obstacles(<0.5m)=242 | F/L/R/B=0.35/0.46/0.64/Infinitym | avg=2.52m var=8.24
limo2 : SCAN_LOG: t=19:00:05.500 | min_dist=0.51m@-88° | obstacles(<0.5m)=0 | F/L/R/B=0.71/2.65/0.51/Infinitym | avg=3.15m var=7.33
limo1 : SCAN_LOG: t=19:00:05.625 | min_dist=0.34m@-12° | obstacles(<0.5m)=256 | F/L/R/B=0.34/0.48/0.55/Infinitym | avg=2.4m var=7.96
limo2 : SCAN_LOG: t=19:00:05.625 | min_dist=0.55m@-91° | obstacles(<0.5m)=0 | F/L/R/B=0.92/2.61/0.55/Infinitym | avg=3.47m var=7.41
limo1 : SCAN_LOG: t=19:00:05.750 | min_dist=0.34m@5° | obstacles(<0.5m)=259 | F/L/R/B=0.34/0.52/0.51/Infinitym | avg=2.32m var=7.77
limo2 : SCAN_LOG: t=19:00:05.750 | min_dist=0.61m@-106° | obstacles(<0.5m)=0 | F/L/R/B=1.26/2.54/0.61/Infinitym | avg=3.71m var=7.13
limo1 : SCAN_LOG: t=19:00:05.875 | min_dist=0.36m@-10° | obstacles(<0.5m)=246 | F/L/R/B=0.36/0.56/0.49/Infinitym | avg=2.27m var=7.58
limo2 : SCAN_LOG: t=19:00:05.875 | min_dist=0.66m@-112° | obstacles(<0.5m)=0 | F/L/R/B=1.69/2.49/0.66/Infinitym | avg=3.87m var=6.81
limo1 : SCAN_LOG: t=19:00:06.000 | min_dist=0.38m@-1° | obstacles(<0.5m)=228 | F/L/R/B=0.38/0.65/0.5/Infinitym | avg=2.25m var=7.47
limo2 : SCAN_LOG: t=19:00:06.000 | min_dist=0.72m@-117° | obstacles(<0.5m)=0 | F/L/R/B=3.29/2.42/0.72/Infinitym | avg=3.99m var=6.44
limo1 : SCAN_LOG: t=19:00:06.125 | min_dist=0.39m@-14° | obstacles(<0.5m)=212 | F/L/R/B=0.39/0.72/0.49/Infinitym | avg=2.23m var=7.39
limo2 : SCAN_LOG: t=19:00:06.125 | min_dist=0.77m@-113° | obstacles(<0.5m)=0 | F/L/R/B=3.16/2.37/0.77/Infinitym | avg=4.07m var=6.15
limo1 : SCAN_LOG: t=19:00:06.250 | min_dist=0.41m@-21° | obstacles(<0.5m)=190 | F/L/R/B=0.41/0.84/0.49/Infinitym | avg=2.19m var=7.25
limo2 : SCAN_LOG: t=19:00:06.250 | min_dist=0.81m@-113° | obstacles(<0.5m)=0 | F/L/R/B=3.19/2.31/0.81/Infinitym | avg=4.11m var=5.9
limo1 : SCAN_LOG: t=19:00:06.375 | min_dist=0.42m@-26° | obstacles(<0.5m)=174 | F/L/R/B=0.42/1.03/0.48/Infinitym | avg=2.16m var=7.11
limo2 : SCAN_LOG: t=19:00:06.375 | min_dist=0.86m@-114° | obstacles(<0.5m)=0 | F/L/R/B=3.22/2.26/0.86/Infinitym | avg=4.16m var=5.66
limo1 : SCAN_LOG: t=19:00:06.500 | min_dist=0.43m@-28° | obstacles(<0.5m)=150 | F/L/R/B=0.43/1.38/0.47/Infinitym | avg=2.15m var=6.83
limo2 : SCAN_LOG: t=19:00:06.500 | min_dist=0.91m@-119° | obstacles(<0.5m)=0 | F/L/R/B=3.25/2.2/0.91/Infinitym | avg=4.2m var=5.42
limo1 : SCAN_LOG: t=19:00:06.625 | min_dist=0.43m@-34° | obstacles(<0.5m)=134 | F/L/R/B=0.43/1.62/0.46/Infinitym | avg=2.06m var=6.3
limo2 : SCAN_LOG: t=19:00:06.625 | min_dist=0.96m@-117° | obstacles(<0.5m)=0 | F/L/R/B=3.26/2.17/0.96/Infinitym | avg=4.24m var=5.2
limo1 : SCAN_LOG: t=19:00:06.750 | min_dist=0.44m@-34° | obstacles(<0.5m)=116 | F/L/R/B=0.44/1.72/0.46/Infinitym | avg=1.95m var=5.83
limo2 : SCAN_LOG: t=19:00:06.750 | min_dist=1.01m@-114° | obstacles(<0.5m)=0 | F/L/R/B=3.25/2.12/1.01/Infinitym | avg=4.28m var=4.97
MISSION_LOG: t=2025-04-15T19:02:05.195Z | Mission 10_0_2_15_20250415184905_b0y64d STOPPED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:04.000 | min_dist=1.03m@-24° | obstacles(<0.5m)=0 | F/L/R/B=1.03/1.29/1.13/Infinitym | avg=2.88m var=4.71
limo2 : SCAN_LOG: t=19:00:04.000 | min_dist=0.66m@-56° | obstacles(<0.5m)=0 | F/L/R/B=6.18/0.87/0.66/Infinitym | avg=3.81m var=7.51
limo1 : SCAN_LOG: t=19:00:04.125 | min_dist=1.05m@-28° | obstacles(<0.5m)=0 | F/L/R/B=1.05/1.16/1.12/Infinitym | avg=2.88m var=4.71
limo2 : SCAN_LOG: t=19:00:04.125 | min_dist=0.65m@-55° | obstacles(<0.5m)=0 | F/L/R/B=6.18/0.88/0.65/Infinitym | avg=3.81m var=7.51
limo1 : SCAN_LOG: t=19:00:04.250 | min_dist=1.03m@-24° | obstacles(<0.5m)=0 | F/L/R/B=1.03/1.3/1.12/Infinitym | avg=2.88m var=4.68
limo2 : SCAN_LOG: t=19:00:04.250 | min_dist=0.66m@-57° | obstacles(<0.5m)=0 | F/L/R/B=6.18/0.86/0.66/Infinitym | avg=3.81m var=7.52
limo1 : SCAN_LOG: t=19:00:04.375 | min_dist=1.03m@-23° | obstacles(<0.5m)=0 | F/L/R/B=1.03/1.3/1.13/Infinitym | avg=2.88m var=4.68
limo2 : SCAN_LOG: t=19:00:04.375 | min_dist=0.66m@-55° | obstacles(<0.5m)=0 | F/L/R/B=6.17/0.88/0.66/Infinitym | avg=3.81m var=7.51
MISSION_LOG: t=2025-04-15T19:06:23.665Z | Mission 10_0_2_15_20250415184905_b0y64d STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:04.500 | min_dist=1.04m@-26° | obstacles(<0.5m)=0 | F/L/R/B=1.04/1.3/1.12/Infinitym | avg=2.88m var=4.68
limo2 : SCAN_LOG: t=19:00:04.500 | min_dist=0.66m@-55° | obstacles(<0.5m)=0 | F/L/R/B=6.18/0.87/0.66/Infinitym | avg=3.81m var=7.51
limo1 : SCAN_LOG: t=19:00:04.625 | min_dist=1.04m@-30° | obstacles(<0.5m)=0 | F/L/R/B=1.04/1.28/1.11/Infinitym | avg=2.88m var=4.72
limo2 : SCAN_LOG: t=19:00:04.625 | min_dist=0.65m@-55° | obstacles(<0.5m)=0 | F/L/R/B=6.18/0.87/0.65/Infinitym | avg=3.8m var=7.52
limo1 : SCAN_LOG: t=19:00:04.750 | min_dist=0.97m@-30° | obstacles(<0.5m)=0 | F/L/R/B=0.97/1.26/1.04/Infinitym | avg=2.78m var=4.65
limo2 : SCAN_LOG: t=19:00:04.750 | min_dist=0.62m@-62° | obstacles(<0.5m)=0 | F/L/R/B=6.09/0.91/0.62/Infinitym | avg=3.83m var=7.53
limo1 : SCAN_LOG: t=19:00:04.875 | min_dist=0.87m@-26° | obstacles(<0.5m)=0 | F/L/R/B=0.87/1.18/0.94/Infinitym | avg=2.65m var=4.56
limo2 : SCAN_LOG: t=19:00:04.875 | min_dist=0.58m@-70° | obstacles(<0.5m)=0 | F/L/R/B=6/0.95/0.58/Infinitym | avg=3.9m var=7.38
limo1 : SCAN_LOG: t=19:00:05.000 | min_dist=0.77m@-28° | obstacles(<0.5m)=0 | F/L/R/B=0.77/1.2/0.85/Infinitym | avg=2.51m var=4.43
limo2 : SCAN_LOG: t=19:00:05.000 | min_dist=0.55m@-79° | obstacles(<0.5m)=0 | F/L/R/B=5.89/1.02/0.55/Infinitym | avg=3.99m var=7.13
limo1 : SCAN_LOG: t=19:00:05.125 | min_dist=0.69m@-19° | obstacles(<0.5m)=0 | F/L/R/B=0.69/1.28/0.74/Infinitym | avg=2.35m var=4.21
limo2 : SCAN_LOG: t=19:00:05.125 | min_dist=0.54m@-89° | obstacles(<0.5m)=0 | F/L/R/B=5.8/1.13/0.54/Infinitym | avg=4.24m var=7.08
limo1 : SCAN_LOG: t=19:00:05.250 | min_dist=0.6m@-26° | obstacles(<0.5m)=0 | F/L/R/B=0.6/1.28/0.65/Infinitym | avg=2.2m var=4.06
limo2 : SCAN_LOG: t=19:00:05.250 | min_dist=0.54m@-100° | obstacles(<0.5m)=0 | F/L/R/B=5.7/1.21/0.54/Infinitym | avg=4.52m var=6.87
limo1 : SCAN_LOG: t=19:00:05.375 | min_dist=0.51m@-26° | obstacles(<0.5m)=0 | F/L/R/B=0.51/1.26/0.55/Infinitym | avg=2.03m var=3.94
