limo1 : SCAN_LOG: t=19:00:03.125 | min_dist=0.91m@-31° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.99/6.38/Infinitym | avg=4.82m var=5.8
limo1 : SCAN_LOG: t=19:00:03.250 | min_dist=0.91m@-31° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.98/6.39/Infinitym | avg=4.91m var=5.71
limo1 : SCAN_LOG: t=19:00:03.375 | min_dist=0.91m@-32° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.99/6.38/Infinitym | avg=4.91m var=5.71
limo1 : SCAN_LOG: t=19:00:03.500 | min_dist=0.92m@-31° | obstacles(<0.5m)=0 | F/L/R/B=0.92/0.98/6.38/Infinitym | avg=4.92m var=5.68
limo1 : SCAN_LOG: t=19:00:03.625 | min_dist=0.9m@-33° | obstacles(<0.5m)=0 | F/L/R/B=0.9/0.99/6.4/Infinitym | avg=4.92m var=5.67
limo1 : SCAN_LOG: t=19:00:03.750 | min_dist=0.91m@-33° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.99/6.38/Infinitym | avg=4.92m var=5.69
limo1 : SCAN_LOG: t=19:00:03.875 | min_dist=0.92m@-26° | obstacles(<0.5m)=0 | F/L/R/B=0.92/0.98/6.37/Infinitym | avg=4.92m var=5.69
limo1 : SCAN_LOG: t=19:00:04.000 | min_dist=0.91m@-29° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.98/6.38/Infinitym | avg=4.91m var=5.68
limo1 : SCAN_LOG: t=19:00:04.125 | min_dist=0.91m@-33° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.98/6.37/Infinitym | avg=4.93m var=5.65
limo1 : SCAN_LOG: t=19:00:04.250 | min_dist=0.91m@-30° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.98/6.38/Infinitym | avg=4.93m var=5.65
limo1 : SCAN_LOG: t=19:00:04.375 | min_dist=0.91m@-30° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.98/6.38/Infinitym | avg=4.92m var=5.69
limo1 : SCAN_LOG: t=19:00:04.500 | min_dist=0.91m@-34° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.99/6.38/Infinitym | avg=4.92m var=5.69
limo1 : SCAN_LOG: t=19:00:04.625 | min_dist=0.91m@-33° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.98/6.38/Infinitym | avg=4.92m var=5.69
limo1 : SCAN_LOG: t=19:00:04.750 | min_dist=0.9m@-33° | obstacles(<0.5m)=0 | F/L/R/B=0.9/1/6.38/Infinitym | avg=4.93m var=5.65
limo1 : SCAN_LOG: t=19:00:04.875 | min_dist=0.92m@-32° | obstacles(<0.5m)=0 | F/L/R/B=0.92/0.99/6.38/Infinitym | avg=4.92m var=5.66
limo1 : SCAN_LOG: t=19:00:05.000 | min_dist=0.92m@-34° | obstacles(<0.5m)=0 | F/L/R/B=0.92/0.98/6.39/Infinitym | avg=4.92m var=5.7
limo1 : SCAN_LOG: t=19:00:05.125 | min_dist=0.91m@-31° | obstacles(<0.5m)=0 | F/L/R/B=0.91/0.97/6.39/Infinitym | avg=4.91m var=5.71
limo1 : SCAN_LOG: t=19:00:05.250 | min_dist=0.92m@-33° | obstacles(<0.5m)=0 | F/L/R/B=0.92/0.99/6.39/Infinitym | avg=4.92m var=5.66
