MISSION_LOG: t=2025-04-16T02:12:19.801Z | Mission 10_0_2_15_20250416021219_82h5rp STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:00:07.750 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:07.875 | min_dist=1.01m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.01/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:08.000 | min_dist=1.02m@68° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:08.125 | min_dist=1.02m@117° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.02/2.82/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:08.250 | min_dist=1.03m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.03/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:08.375 | min_dist=1.01m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.01/2.83/Infinitym | avg=3.84m var=7.36
limo1 : SCAN_LOG: t=19:00:08.500 | min_dist=1.01m@67° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.01/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:08.625 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:08.750 | min_dist=1.03m@62° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.03/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:08.875 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:09.000 | min_dist=1.02m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:09.125 | min_dist=1.02m@56° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:09.250 | min_dist=1.02m@65° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.84m var=7.36
limo1 : SCAN_LOG: t=19:00:09.375 | min_dist=1.02m@65° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:09.500 | min_dist=1.02m@57° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:09.625 | min_dist=1.02m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.84m var=7.36
limo1 : SCAN_LOG: t=19:00:09.750 | min_dist=1.01m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.01/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:09.875 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:10.000 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:10.125 | min_dist=1.02m@117° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:10.250 | min_dist=1.02m@65° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.35
limo1 : SCAN_LOG: t=19:00:10.375 | min_dist=1.03m@66° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.03/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:10.500 | min_dist=1.01m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.01/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:10.625 | min_dist=1.02m@59° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:10.750 | min_dist=1.02m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:10.875 | min_dist=1.03m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.03/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:11.000 | min_dist=1.02m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:11.125 | min_dist=1.02m@62° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:11.250 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:11.375 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:11.500 | min_dist=1.02m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.09/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:11.625 | min_dist=1.02m@59° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:11.750 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:11.875 | min_dist=1.01m@62° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.01/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:12.000 | min_dist=1.02m@55° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.84m var=7.36
limo1 : SCAN_LOG: t=19:00:12.125 | min_dist=1.01m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.06/1.01/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:12.250 | min_dist=1.02m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:12.375 | min_dist=1.02m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:12.500 | min_dist=1.02m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:12.625 | min_dist=1m@57° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:12.750 | min_dist=1.02m@56° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:12.875 | min_dist=1.02m@60° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.82/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:13.000 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:13.125 | min_dist=1.02m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:13.250 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.82/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:13.375 | min_dist=1.02m@66° | obstacles(<0.5m)=0 | F/L/R/B=1.09/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:13.500 | min_dist=1.02m@55° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.85/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:13.625 | min_dist=1.01m@63° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.01/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:13.750 | min_dist=1.02m@61° | obstacles(<0.5m)=0 | F/L/R/B=1.08/1.02/2.84/Infinitym | avg=3.84m var=7.36
limo1 : SCAN_LOG: t=19:00:13.875 | min_dist=1.02m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.84/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:14.000 | min_dist=1.02m@58° | obstacles(<0.5m)=0 | F/L/R/B=1.09/1.02/2.83/Infinitym | avg=3.83m var=7.36
limo1 : SCAN_LOG: t=19:00:14.125 | min_dist=1.02m@64° | obstacles(<0.5m)=0 | F/L/R/B=1.07/1.02/2.85/Infinitym | avg=3.83m var=7.36
