MISSION_LOG: t=2025-04-15T21:21:44.916Z | Mission 10_0_2_15_20250415212144_uj1f0i STARTED for robot at 10.0.2.15
limo1 : SCAN_LOG: t=19:01:01.500 | min_dist=0.82m@108° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.18/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:01.625 | min_dist=0.82m@108° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.82/1.19/Infinitym | avg=4.06m var=6.51
limo1 : SCAN_LOG: t=19:01:01.750 | min_dist=0.82m@110° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.82/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:01.875 | min_dist=0.82m@107° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:02.000 | min_dist=0.81m@106° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.81/1.18/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:02.125 | min_dist=0.82m@107° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:02.250 | min_dist=0.81m@106° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.81/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:02.375 | min_dist=0.81m@105° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.81/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:02.500 | min_dist=0.81m@108° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.81/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:02.625 | min_dist=0.81m@107° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.81/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:02.750 | min_dist=0.82m@111° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.18/Infinitym | avg=4.06m var=6.51
limo1 : SCAN_LOG: t=19:01:02.875 | min_dist=0.82m@104° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:03.000 | min_dist=0.82m@111° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.82/1.16/Infinitym | avg=4.06m var=6.51
limo1 : SCAN_LOG: t=19:01:03.125 | min_dist=0.82m@112° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:03.250 | min_dist=0.82m@112° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.18/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:03.375 | min_dist=0.81m@107° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.81/1.18/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:03.500 | min_dist=0.82m@106° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:03.625 | min_dist=0.82m@108° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.16/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:03.750 | min_dist=0.81m@112° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.81/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:03.875 | min_dist=0.83m@114° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.83/1.18/Infinitym | avg=4.06m var=6.51
limo1 : SCAN_LOG: t=19:01:04.000 | min_dist=0.82m@105° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.18/Infinitym | avg=4.06m var=6.51
limo1 : SCAN_LOG: t=19:01:04.125 | min_dist=0.8m@106° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.8/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:04.250 | min_dist=0.82m@105° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.82/1.16/Infinitym | avg=4.06m var=6.51
limo1 : SCAN_LOG: t=19:01:04.375 | min_dist=0.81m@104° | obstacles(<0.5m)=0 | F/L/R/B=2.17/0.81/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:04.500 | min_dist=0.82m@107° | obstacles(<0.5m)=0 | F/L/R/B=2.17/0.82/1.18/Infinitym | avg=4.06m var=6.51
limo1 : SCAN_LOG: t=19:01:04.625 | min_dist=0.82m@115° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.17/Infinitym | avg=4.06m var=6.52
limo1 : SCAN_LOG: t=19:01:04.750 | min_dist=0.82m@106° | obstacles(<0.5m)=0 | F/L/R/B=2.19/0.82/1.17/Infinitym | avg=4.06m var=6.51
limo1 : SCAN_LOG: t=19:01:04.875 | min_dist=0.82m@105° | obstacles(<0.5m)=0 | F/L/R/B=2.18/0.82/1.18/Infinitym | avg=4.06m var=6.52
