MISSION_LOG: t=2025-04-15T15:54:05.432Z | Mission 10_0_2_15_20250415155405_864c7t STARTED for robot at 10.0.2.15
limo2 : SCAN_LOG: t=19:00:16.000 | min_dist=0.39m@-114° | obstacles(<0.5m)=142 | F/L/R/B=0.83/3.06/0.39/Infinitym | avg=3.55m var=8.51
limo1 : SCAN_LOG: t=19:00:16.125 | min_dist=0.3m@-31° | obstacles(<0.5m)=300 | F/L/R/B=0.3/0.84/0.33/Infinitym | avg=2.12m var=7.8
limo2 : SCAN_LOG: t=19:00:16.125 | min_dist=0.42m@-108° | obstacles(<0.5m)=103 | F/L/R/B=1.12/3.05/0.42/Infinitym | avg=3.66m var=8.12
limo1 : SCAN_LOG: t=19:00:16.250 | min_dist=0.32m@-30° | obstacles(<0.5m)=282 | F/L/R/B=0.32/0.84/0.34/Infinitym | avg=2.08m var=7.57
limo2 : SCAN_LOG: t=19:00:16.250 | min_dist=0.44m@-118° | obstacles(<0.5m)=68 | F/L/R/B=1.62/3.02/0.44/Infinitym | avg=3.78m var=7.75
limo1 : SCAN_LOG: t=19:00:16.375 | min_dist=0.34m@-29° | obstacles(<0.5m)=265 | F/L/R/B=0.34/0.85/0.36/Infinitym | avg=2.08m var=7.54
limo2 : SCAN_LOG: t=19:00:16.375 | min_dist=0.5m@-114° | obstacles(<0.5m)=1 | F/L/R/B=6.18/2.97/0.5/Infinitym | avg=3.95m var=7.24
limo1 : SCAN_LOG: t=19:00:16.500 | min_dist=0.35m@-28° | obstacles(<0.5m)=257 | F/L/R/B=0.35/0.92/0.36/Infinitym | avg=2m var=7.24
limo2 : SCAN_LOG: t=19:00:16.500 | min_dist=0.6m@-118° | obstacles(<0.5m)=0 | F/L/R/B=6.11/2.94/0.6/Infinitym | avg=4.14m var=6.73
limo1 : SCAN_LOG: t=19:00:16.625 | min_dist=0.34m@-46° | obstacles(<0.5m)=247 | F/L/R/B=0.35/0.98/0.34/Infinitym | avg=1.9m var=6.92
limo2 : SCAN_LOG: t=19:00:16.625 | min_dist=0.68m@-118° | obstacles(<0.5m)=0 | F/L/R/B=6.04/2.93/0.68/Infinitym | avg=4.3m var=6.31
limo1 : SCAN_LOG: t=19:00:16.750 | min_dist=0.36m@-44° | obstacles(<0.5m)=242 | F/L/R/B=0.36/1.05/0.36/Infinitym | avg=2m var=7.52
limo2 : SCAN_LOG: t=19:00:16.750 | min_dist=0.76m@-115° | obstacles(<0.5m)=0 | F/L/R/B=5.97/2.9/0.76/Infinitym | avg=4.42m var=6.05
limo1 : SCAN_LOG: t=19:00:16.875 | min_dist=0.38m@-50° | obstacles(<0.5m)=225 | F/L/R/B=0.39/1.19/0.38/Infinitym | avg=2.27m var=8.57
limo2 : SCAN_LOG: t=19:00:16.875 | min_dist=0.83m@-120° | obstacles(<0.5m)=0 | F/L/R/B=5.89/2.87/0.83/Infinitym | avg=4.52m var=5.81
limo1 : SCAN_LOG: t=19:00:17.000 | min_dist=0.38m@-64° | obstacles(<0.5m)=208 | F/L/R/B=0.41/3.06/0.38/Infinitym | avg=2.42m var=8.75
limo2 : SCAN_LOG: t=19:00:17.000 | min_dist=0.9m@-119° | obstacles(<0.5m)=0 | F/L/R/B=5.82/2.86/0.9/Infinitym | avg=4.61m var=5.59
limo1 : SCAN_LOG: t=19:00:17.125 | min_dist=0.41m@-69° | obstacles(<0.5m)=189 | F/L/R/B=0.44/1.37/0.41/Infinitym | avg=2.5m var=8.67
limo2 : SCAN_LOG: t=19:00:17.125 | min_dist=0.97m@-120° | obstacles(<0.5m)=0 | F/L/R/B=5.73/2.84/0.97/Infinitym | avg=4.72m var=5.36
limo1 : SCAN_LOG: t=19:00:17.250 | min_dist=0.43m@-59° | obstacles(<0.5m)=164 | F/L/R/B=0.48/2.75/0.43/Infinitym | avg=2.57m var=8.48
limo2 : SCAN_LOG: t=19:00:17.250 | min_dist=1.05m@-118° | obstacles(<0.5m)=0 | F/L/R/B=5.66/2.81/1.05/Infinitym | avg=4.82m var=5.11
limo1 : SCAN_LOG: t=19:00:17.375 | min_dist=0.44m@-76° | obstacles(<0.5m)=145 | F/L/R/B=0.5/2.63/0.44/Infinitym | avg=2.67m var=8.48
limo2 : SCAN_LOG: t=19:00:17.375 | min_dist=1.11m@-120° | obstacles(<0.5m)=0 | F/L/R/B=5.57/2.8/1.11/Infinitym | avg=4.91m var=4.89
limo1 : SCAN_LOG: t=19:00:17.500 | min_dist=0.45m@-90° | obstacles(<0.5m)=117 | F/L/R/B=0.55/2.56/0.45/Infinitym | avg=2.72m var=8.35
limo2 : SCAN_LOG: t=19:00:17.500 | min_dist=1.19m@-119° | obstacles(<0.5m)=0 | F/L/R/B=5.51/2.79/1.19/Infinitym | avg=5.01m var=4.68
limo1 : SCAN_LOG: t=19:00:17.625 | min_dist=0.46m@-90° | obstacles(<0.5m)=102 | F/L/R/B=0.59/2.52/0.46/Infinitym | avg=2.75m var=8.19
limo2 : SCAN_LOG: t=19:00:17.625 | min_dist=1.24m@-120° | obstacles(<0.5m)=0 | F/L/R/B=5.42/2.77/1.24/Infinitym | avg=5.1m var=4.42
limo1 : SCAN_LOG: t=19:00:17.750 | min_dist=0.47m@-78° | obstacles(<0.5m)=88 | F/L/R/B=0.63/2.49/0.47/Infinitym | avg=2.77m var=8.09
limo2 : SCAN_LOG: t=19:00:17.750 | min_dist=1.32m@-118° | obstacles(<0.5m)=0 | F/L/R/B=5.35/2.74/1.32/Infinitym | avg=5.17m var=4.16
limo1 : SCAN_LOG: t=19:00:17.875 | min_dist=0.47m@-90° | obstacles(<0.5m)=62 | F/L/R/B=0.66/2.45/0.47/Infinitym | avg=2.8m var=8.05
limo2 : SCAN_LOG: t=19:00:17.875 | min_dist=1.38m@-120° | obstacles(<0.5m)=0 | F/L/R/B=5.26/2.73/1.38/Infinitym | avg=5.24m var=3.89
limo1 : SCAN_LOG: t=19:00:18.000 | min_dist=0.47m@-80° | obstacles(<0.5m)=51 | F/L/R/B=0.66/2.44/0.47/Infinitym | avg=2.81m var=8
limo2 : SCAN_LOG: t=19:00:18.000 | min_dist=1.47m@-118° | obstacles(<0.5m)=0 | F/L/R/B=5.2/2.71/1.47/Infinitym | avg=5.31m var=3.6
limo1 : SCAN_LOG: t=19:00:18.125 | min_dist=0.48m@-100° | obstacles(<0.5m)=40 | F/L/R/B=0.69/2.42/0.48/Infinitym | avg=2.79m var=7.84
limo2 : SCAN_LOG: t=19:00:18.125 | min_dist=1.55m@-119° | obstacles(<0.5m)=0 | F/L/R/B=5.12/2.7/1.55/Infinitym | avg=5.37m var=3.31
limo1 : SCAN_LOG: t=19:00:18.250 | min_dist=0.48m@-97° | obstacles(<0.5m)=24 | F/L/R/B=0.71/2.43/0.48/Infinitym | avg=2.85m var=7.98
limo2 : SCAN_LOG: t=19:00:18.250 | min_dist=1.62m@-120° | obstacles(<0.5m)=0 | F/L/R/B=5.04/2.69/1.62/Infinitym | avg=5.43m var=3.06
limo1 : SCAN_LOG: t=19:00:18.375 | min_dist=0.49m@-94° | obstacles(<0.5m)=9 | F/L/R/B=0.73/2.42/0.49/Infinitym | avg=2.88m var=7.98
limo2 : SCAN_LOG: t=19:00:18.375 | min_dist=1.68m@-118° | obstacles(<0.5m)=0 | F/L/R/B=4.96/2.68/1.68/Infinitym | avg=5.49m var=2.8
limo1 : SCAN_LOG: t=19:00:18.500 | min_dist=0.49m@-89° | obstacles(<0.5m)=6 | F/L/R/B=0.75/2.44/0.49/Infinitym | avg=2.87m var=7.85
limo2 : SCAN_LOG: t=19:00:18.500 | min_dist=1.77m@-120° | obstacles(<0.5m)=0 | F/L/R/B=4.88/2.69/1.77/Infinitym | avg=5.53m var=2.55
limo1 : SCAN_LOG: t=19:00:18.625 | min_dist=0.5m@-97° | obstacles(<0.5m)=3 | F/L/R/B=0.75/2.44/0.5/Infinitym | avg=2.91m var=7.91
limo2 : SCAN_LOG: t=19:00:18.625 | min_dist=1.84m@-118° | obstacles(<0.5m)=0 | F/L/R/B=4.81/2.68/1.84/Infinitym | avg=5.56m var=2.29
limo1 : SCAN_LOG: t=19:00:18.750 | min_dist=0.5m@-93° | obstacles(<0.5m)=0 | F/L/R/B=0.76/2.45/0.5/Infinitym | avg=2.96m var=8.06
limo2 : SCAN_LOG: t=19:00:18.750 | min_dist=1.91m@-119° | obstacles(<0.5m)=0 | F/L/R/B=4.74/2.69/1.91/Infinitym | avg=5.59m var=2.06
limo1 : SCAN_LOG: t=19:00:18.875 | min_dist=0.5m@-85° | obstacles(<0.5m)=0 | F/L/R/B=0.76/2.48/0.5/Infinitym | avg=3m var=8.1
limo2 : SCAN_LOG: t=19:00:18.875 | min_dist=1.98m@-118° | obstacles(<0.5m)=0 | F/L/R/B=4.65/2.7/1.98/Infinitym | avg=5.61m var=1.86
limo1 : SCAN_LOG: t=19:00:19.000 | min_dist=0.51m@-92° | obstacles(<0.5m)=0 | F/L/R/B=0.78/2.52/0.51/Infinitym | avg=3.07m var=8.15
limo2 : SCAN_LOG: t=19:00:19.000 | min_dist=2.71m@97° | obstacles(<0.5m)=0 | F/L/R/B=4.58/2.71/4.61/Infinitym | avg=5.62m var=1.68
limo1 : SCAN_LOG: t=19:00:19.125 | min_dist=0.5m@-95° | obstacles(<0.5m)=0 | F/L/R/B=0.8/2.57/0.5/Infinitym | avg=3.16m var=8.27
limo2 : SCAN_LOG: t=19:00:19.125 | min_dist=2.72m@100° | obstacles(<0.5m)=0 | F/L/R/B=4.5/2.72/4.54/Infinitym | avg=5.56m var=1.56
limo1 : SCAN_LOG: t=19:00:19.250 | min_dist=0.52m@-91° | obstacles(<0.5m)=0 | F/L/R/B=0.82/2.61/0.52/Infinitym | avg=3.22m var=8.33
limo2 : SCAN_LOG: t=19:00:19.250 | min_dist=2.73m@101° | obstacles(<0.5m)=0 | F/L/R/B=4.42/2.73/4.44/Infinitym | avg=5.52m var=1.49
limo1 : SCAN_LOG: t=19:00:19.375 | min_dist=0.53m@-96° | obstacles(<0.5m)=0 | F/L/R/B=0.84/2.67/0.53/Infinitym | avg=3.31m var=8.45
limo2 : SCAN_LOG: t=19:00:19.375 | min_dist=2.75m@103° | obstacles(<0.5m)=0 | F/L/R/B=4.35/2.75/4.37/Infinitym | avg=5.48m var=1.44
limo1 : SCAN_LOG: t=19:00:19.500 | min_dist=0.54m@-91° | obstacles(<0.5m)=0 | F/L/R/B=0.83/2.72/0.54/Infinitym | avg=3.37m var=8.49
